Республика Адыгея (Адыгея),Майкопская городская,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=12000004&tvd=2012000364366&vrn=100100084849062&prver=0&pronetvd=null&region=1&sub_region=1&type=227&vibid=2012000364366
Республика Адыгея (Адыгея),Гиагинская,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=12000008&tvd=2012000364370&vrn=100100084849062&prver=0&pronetvd=null&region=1&sub_region=1&type=227&vibid=2012000364370
Республика Адыгея (Адыгея),Кошехабльская,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=12000007&tvd=2012000364369&vrn=100100084849062&prver=0&pronetvd=null&region=1&sub_region=1&type=227&vibid=2012000364369
Республика Адыгея (Адыгея),Красногвардейская,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=12000006&tvd=2012000364368&vrn=100100084849062&prver=0&pronetvd=null&region=1&sub_region=1&type=227&vibid=2012000364368
Республика Адыгея (Адыгея),Майкопская ,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=12000005&tvd=2012000364367&vrn=100100084849062&prver=0&pronetvd=null&region=1&sub_region=1&type=227&vibid=2012000364367
Республика Адыгея (Адыгея),Теучежская,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=12000002&tvd=2012000364364&vrn=100100084849062&prver=0&pronetvd=null&region=1&sub_region=1&type=227&vibid=2012000364364
Республика Адыгея (Адыгея),Тахтамукайская ,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=12000003&tvd=2012000364365&vrn=100100084849062&prver=0&pronetvd=null&region=1&sub_region=1&type=227&vibid=2012000364365
Республика Адыгея (Адыгея),Адыгейская,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=12000009&tvd=2012000364371&vrn=100100084849062&prver=0&pronetvd=null&region=1&sub_region=1&type=227&vibid=2012000364371
Республика Алтай,Майминская,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=42000003&tvd=2042000367644&vrn=100100084849062&prver=0&pronetvd=null&region=2&sub_region=2&type=227&vibid=2042000367644
Республика Алтай,Кош-Агачская,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=42000005&tvd=2042000367646&vrn=100100084849062&prver=0&pronetvd=null&region=2&sub_region=2&type=227&vibid=2042000367646
